SystemTime,interbeat_interval
2025-03-17 16:22:43.109658396,"1015,625"
2025-03-17 16:22:44.110648054,"1053,7109375"
2025-03-17 16:22:45.111638052,"1107,421875"
2025-03-17 16:22:46.112628024,"1029,296875"
2025-03-17 16:22:47.113617978,"1004,8828125"
2025-03-17 16:22:48.114607948,"1004,8828125"
2025-03-17 16:22:49.115597568,"933,59375"
2025-03-17 16:22:49.115597639,"918,9453125"
2025-03-17 16:22:49.116588184,"865,234375"
2025-03-17 16:22:50.117577725,"878,90625"
2025-03-17 16:22:51.118568049,
2025-03-17 16:22:52.119558111,"886,71875"
2025-03-17 16:22:53.120548311,"891,6015625"
2025-03-17 16:22:54.121537915,"1307,6171875"
2025-03-17 16:22:55.122528087,"1064,453125"
2025-03-17 16:22:55.122528202,"993,1640625"
2025-03-17 16:22:56.123517888,"979,4921875"
2025-03-17 16:22:57.124507676,"921,875"
2025-03-17 16:22:58.125498166,"922,8515625"
2025-03-17 16:22:59.126487953,"952,1484375"
2025-03-17 16:23:00.127477825,"930,6640625"
2025-03-17 16:23:01.128467543,"952,1484375"
2025-03-17 16:23:02.129458039,"939,453125"
2025-03-17 16:23:04.130943124,"924,8046875"
2025-03-17 16:23:05.131932903,"915,0390625"
2025-03-17 16:23:06.132923087,"937,5"
2025-03-17 16:23:07.133912742,"943,359375"
2025-03-17 16:23:08.134902643,"925,78125"
2025-03-17 16:23:08.134902727,"892,578125"
2025-03-17 16:23:09.135892803,"847,65625"
2025-03-17 16:23:10.136883158,"824,21875"
2025-03-17 16:23:11.137873219,"817,3828125"
2025-03-17 16:23:12.138863181,"879,8828125"
2025-03-17 16:23:13.139853109,"926,7578125"
2025-03-17 16:23:14.140842699,"950,1953125"
2025-03-17 16:23:15.141832709,"940,4296875"
2025-03-17 16:23:16.142822654,"945,3125"
2025-03-17 16:23:17.143812836,"941,40625"
2025-03-17 16:23:17.143812961,"922,8515625"
2025-03-17 16:23:18.144803688,"915,0390625"
2025-03-17 16:23:19.145793245,"874,0234375"
2025-03-17 16:23:20.146782629,"889,6484375"
2025-03-17 16:23:21.147772800,"946,2890625"
2025-03-17 16:23:22.148763180,"964,84375"
2025-03-17 16:23:23.149753073,"979,4921875"
2025-03-17 16:23:24.150743239,"1003,90625"
2025-03-17 16:23:25.151733141,"962,890625"
2025-03-17 16:23:26.152722899,"951,171875"
2025-03-17 16:23:27.153713479,"947,265625"
2025-03-17 16:23:28.154703446,"919,921875"
2025-03-17 16:23:29.155693090,"908,203125"
2025-03-17 16:23:30.156683289,"904,296875"
2025-03-17 16:23:32.158662927,"923,828125"
2025-03-17 16:23:32.158663166,"921,875"
2025-03-17 16:23:32.158663215,"926,7578125"
2025-03-17 16:23:34.160642465,"902,34375"
2025-03-17 16:23:34.160643170,"888,671875"
2025-03-17 16:23:35.161633100,"871,09375"
2025-03-17 16:23:36.162623558,"865,234375"
2025-03-17 16:23:37.163613350,"869,140625"
2025-03-17 16:23:38.164603523,"838,8671875"
2025-03-17 16:23:38.164603680,"858,3984375"
2025-03-17 16:23:39.165593082,"885,7421875"
2025-03-17 16:23:39.166583489,"864,2578125"
2025-03-17 16:23:40.167573102,"849,609375"
2025-03-17 16:23:41.168563454,"874,0234375"
2025-03-17 16:23:42.169553118,"872,0703125"
2025-03-17 16:23:43.170543326,"840,8203125"
2025-03-17 16:23:43.170543464,"832,03125"
2025-03-17 16:23:44.171533024,"816,40625"
2025-03-17 16:23:45.172522801,"800,78125"
2025-03-17 16:23:46.173513249,"848,6328125"
2025-03-17 16:23:47.174503242,"847,65625"
2025-03-17 16:23:48.175493227,"840,8203125"
2025-03-17 16:23:49.176483359,"865,234375"
2025-03-17 16:23:49.176483488,"926,7578125"
2025-03-17 16:23:50.177473217,"900,390625"
2025-03-17 16:23:51.178463280,"885,7421875"
2025-03-17 16:23:52.179452984,"840,8203125"
2025-03-17 16:23:54.180938179,"824,21875"
2025-03-17 16:23:55.181928098,"828,125"
2025-03-17 16:23:56.182918487,"846,6796875"
2025-03-17 16:23:57.183908274,"973,6328125"
2025-03-17 16:23:58.184898454,"1009,765625"
2025-03-17 16:23:59.185888616,"975,5859375"
2025-03-17 16:24:01.187868360,"941,40625"
2025-03-17 16:24:01.187868488,"900,390625"
2025-03-17 16:24:01.187868715,"886,71875"
2025-03-17 16:24:02.188858419,"895,5078125"
2025-03-17 16:24:03.189848446,"885,7421875"
2025-03-17 16:24:04.190838373,"886,71875"
2025-03-17 16:24:05.191828457,"918,9453125"
2025-03-17 16:24:07.193808466,"939,453125"
2025-03-17 16:24:07.193808802,"961,9140625"
2025-03-17 16:24:08.194798356,"938,4765625"
2025-03-17 16:24:09.195788284,"896,484375"
2025-03-17 16:24:10.196778309,"894,53125"
2025-03-17 16:24:10.196778437,"909,1796875"
2025-03-17 16:24:11.197768487,"908,203125"
2025-03-17 16:24:12.199253230,"930,6640625"
2025-03-17 16:24:13.199748282,"962,890625"
2025-03-17 16:24:14.200738184,"869,140625"
2025-03-17 16:24:15.201728690,"817,3828125"
2025-03-17 16:24:15.201728784,"784,1796875"
2025-03-17 16:24:16.202718440,"739,2578125"
2025-03-17 16:24:17.203708548,"714,84375"
2025-03-17 16:24:18.204698475,"746,09375"
2025-03-17 16:24:19.205688647,875
2025-03-17 16:24:20.206678317,"934,5703125"
2025-03-17 16:24:22.208658179,"976,5625"
2025-03-17 16:24:22.208658864,"924,8046875"
2025-03-17 16:24:22.208658981,"863,28125"
2025-03-17 16:24:23.209648503,"856,4453125"
2025-03-17 16:24:24.210638811,"826,171875"
2025-03-17 16:24:25.211628700,"834,9609375"
2025-03-17 16:24:26.212618903,"853,515625"
2025-03-17 16:24:27.213609691,"857,421875"
2025-03-17 16:24:28.215588255,"899,4140625"
2025-03-17 16:24:28.215588531,"932,6171875"
2025-03-17 16:24:28.215588584,"917,96875"
2025-03-17 16:24:29.216578647,"895,5078125"
2025-03-17 16:24:30.217568114,"904,296875"
2025-03-17 16:24:31.218558621,"913,0859375"
2025-03-17 16:24:32.219548619,"899,4140625"
2025-03-17 16:24:33.220538606,"871,09375"
2025-03-17 16:24:34.221528661,"865,234375"
2025-03-17 16:24:35.222518397,"866,2109375"
2025-03-17 16:24:35.222518483,"855,46875"
2025-03-17 16:24:36.223508778,"882,8125"
2025-03-17 16:24:37.224498634,"791,015625"
2025-03-17 16:24:38.225488615,"809,5703125"
2025-03-17 16:24:39.226478693,"820,3125"
2025-03-17 16:24:40.227468506,"854,4921875"
2025-03-17 16:24:41.228458775,"950,1953125"
2025-03-17 16:24:41.228458919,"901,3671875"
2025-03-17 16:24:43.229943668,"857,421875"
2025-03-17 16:24:44.230933398,"868,1640625"
2025-03-17 16:24:45.231923777,"902,34375"
2025-03-17 16:24:46.232913767,"940,4296875"
2025-03-17 16:24:47.233903294,"919,921875"
2025-03-17 16:24:48.234893477,"915,0390625"
2025-03-17 16:24:49.235883739,"899,4140625"
